file,line,pattern_type,key_or_value,default_value,severity
src/omnimarket/experiments/adk_eval/track_a_adk/app/fast_api_app.py,34,env_var,LOGS_BUCKET_NAME,,S1
src/omnimarket/experiments/adk_eval/track_a_adk/app/fast_api_app.py,30,env_var,ALLOW_ORIGINS,,S1
src/omnimarket/experiments/adk_eval/track_a_adk/app/fast_api_app.py,30,env_var,ALLOW_ORIGINS,'',
src/omnimarket/experiments/adk_eval/track_a_adk/tests/unit/test_agent_shape.py,19,env_var,GOOGLE_GENAI_USE_VERTEXAI,,S1
src/omnimarket/experiments/adk_eval/track_a_adk/tests/unit/test_agent_shape.py,46,env_var,GOOGLE_GENAI_USE_VERTEXAI,,S1
src/omnimarket/experiments/adk_eval/track_a_adk/tests/unit/test_dummy.py,25,env_var,GOOGLE_GENAI_USE_VERTEXAI,,S1
src/omnimarket/experiments/adk_eval/type_debt_scout_poc/__main__.py,164,model_id,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,,S1
src/omnimarket/experiments/adk_eval/type_debt_scout_poc/handler_type_debt_scout.py,327,env_var,LLM_CODER_URL,_DEFAULT_BASE_URL,
src/omnimarket/experiments/adk_eval/type_debt_scout_poc/handler_type_debt_scout.py,59,model_id,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,,S1
src/omnimarket/github_api.py,29,env_var,GH_PAT,'',
src/omnimarket/inference/bridge_config_loader.py,100,env_var,model_env,default_model_id,
src/omnimarket/inference/bridge_config_loader.py,94,env_var,url_env,'',
src/omnimarket/inference/bridge_config_loader.py,107,env_var,LLM_GLM_API_KEY,'',
src/omnimarket/inference/bridge_config_loader.py,41,model_id,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,,S1
src/omnimarket/inference/bridge_config_loader.py,48,model_id,Qwen/Qwen3-14B-AWQ,,S1
src/omnimarket/inference/bridge_config_loader.py,55,model_id,mlx-community/DeepSeek-R1-Distill-Qwen-32B-bf16,,S1
src/omnimarket/inference/bridge_config_loader.py,62,model_id,mlx-community/Qwen3-Next-80B-A3B-Instruct-4bit,,S1
src/omnimarket/market_skill_baseline.py,35,env_var,OMNI_HOME,,S1
src/omnimarket/market_skill_baseline.py,609,env_var,PATH,'',
src/omnimarket/market_skill_baseline.py,738,env_var,PATH,'',
src/omnimarket/market_skill_baseline.py,684,env_var,PATH,'',
src/omnimarket/nodes/node_ab_compare_orchestrator/handlers/handler_ab_compare_orchestrator.py,84,env_var,requires_key,,S1
src/omnimarket/nodes/node_ab_compare_orchestrator/handlers/handler_ab_compare_orchestrator.py,99,env_var,endpoint_env,,S1
src/omnimarket/nodes/node_ab_compare_orchestrator/handlers/handler_ab_compare_orchestrator.py,110,env_var,model_id_env,,S1
src/omnimarket/nodes/node_ab_compare_reducer/handlers/handler_ab_compare_reducer.py,17,model_id,Qwen3-Coder-30B,,S1
src/omnimarket/nodes/node_ab_inference_effect/handlers/handler_ab_inference_effect.py,316,env_var,name,'',
src/omnimarket/nodes/node_aislop_sweep/__main__.py,66,env_var,OMNI_HOME,'/Volumes/PRO-G40/Code/omni_home',S2
src/omnimarket/nodes/node_aislop_sweep/__main__.py,66,hardcoded_path,/Volumes/PRO-G40/Code/omni_home,,S1
src/omnimarket/nodes/node_authorize/handlers/handler_authorize.py,76,env_var,ONEX_STATE_DIR,,S1
src/omnimarket/nodes/node_autopilot_orchestrator/consumer.py,184,env_var,KAFKA_BOOTSTRAP_SERVERS,"os.environ.get('KAFKA_BROKER', 'localhost:9092')",
src/omnimarket/nodes/node_autopilot_orchestrator/consumer.py,188,env_var,AUTOPILOT_ORCH_GROUP,_DEFAULT_GROUP,
src/omnimarket/nodes/node_autopilot_orchestrator/consumer.py,186,env_var,KAFKA_BROKER,'localhost:9092',
src/omnimarket/nodes/node_baseline_capture/handlers/handler_baseline_capture.py,41,env_var,OMNI_HOME,,S1
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_db_row_counts.py,42,env_var,OMNIBASE_INFRA_DB_URL,'',
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_kafka_topics.py,33,env_var,REDPANDA_ADMIN_HOST,'192.168.86.201',S2
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_kafka_topics.py,34,env_var,REDPANDA_ADMIN_PORT,'9644',
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_kafka_topics.py,33,lan_ip,192.168.86.201,,S1
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_linear_tickets.py,49,env_var,LINEAR_API_KEY,'',
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,24,env_var,POSTGRES_HOST,'192.168.86.201',S2
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,24,env_var,POSTGRES_PORT,'5436',
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,30,env_var,QDRANT_HOST,'192.168.86.201',S2
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,30,env_var,QDRANT_PORT,'6333',
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,34,env_var,LLM_CODER_URL,'http://192.168.86.201:8000',S2
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,38,env_var,LLM_CODER_FAST_URL,'http://192.168.86.201:8001',S2
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,42,env_var,LLM_EMBEDDING_URL,'http://192.168.86.200:8100',S2
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,24,lan_ip,192.168.86.201,,S1
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,30,lan_ip,192.168.86.201,,S1
src/omnimarket/nodes/node_baseline_compare/handlers/handler_baseline_compare.py,51,env_var,OMNI_HOME,,S1
src/omnimarket/nodes/node_build_dispatch_effect/handlers/dispatch_history_store.py,63,env_var,_ENV_STORE_PATH,,S1
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,80,env_var,LLM_CODER_FAST_URL,'',
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,81,env_var,LLM_CODER_URL,'',
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,84,env_var,LLM_GLM_API_KEY,'',
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,85,env_var,LLM_GLM_URL,'',
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,86,env_var,LLM_GLM_MODEL_NAME,'glm-4.5',
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,89,env_var,OPENAI_API_KEY,'',
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,97,env_var,LINEAR_API_KEY,'',
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,74,env_var,OMNI_HOME,str(Path.home() / 'Code' / 'omni_home'),S2
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,76,env_var,OMNI_WORKTREES_ROOT,str(Path.home() / 'Code' / 'omni_worktrees'),
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,93,env_var,GOOGLE_API_KEY,'',
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,93,env_var,GEMINI_API_KEY,'',
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,110,env_var,KAFKA_BOOTSTRAP_SERVERS,'',
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,422,model_id,Corianas/DeepSeek-R1-Distill-Qwen-14B-AWQ,,S1
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,489,model_id,Corianas/DeepSeek-R1-Distill-Qwen-14B-AWQ,,S1
src/omnimarket/nodes/node_build_loop_orchestrator/assemble_live.py,884,model_id,cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,,S1
src/omnimarket/nodes/node_build_loop_orchestrator/consumer.py,210,env_var,KAFKA_BOOTSTRAP_SERVERS,"os.environ.get('KAFKA_BROKER', 'localhost:9092')",
src/omnimarket/nodes/node_build_loop_orchestrator/consumer.py,214,env_var,BUILD_LOOP_GROUP,_DEFAULT_GROUP,
src/omnimarket/nodes/node_build_loop_orchestrator/consumer.py,212,env_var,KAFKA_BROKER,'localhost:9092',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_delegation_router.py,215,env_var,LLM_GLM_API_KEY,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_delegation_router.py,216,env_var,LLM_GLM_URL,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_delegation_router.py,217,env_var,LLM_GLM_MODEL_NAME,'glm-4.5',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_delegation_router.py,231,env_var,LLM_GLM_API_KEY,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_delegation_router.py,248,env_var,LLM_CODER_FAST_URL,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_delegation_router.py,260,env_var,LLM_CODER_URL,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_delegation_router.py,272,env_var,LLM_DEEPSEEK_R1_URL,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_delegation_router.py,316,env_var,OPENAI_API_KEY,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_delegation_router.py,233,env_var,LLM_GLM_URL,,S1
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_delegation_router.py,286,env_var,GEMINI_API_KEY,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_delegation_router.py,286,env_var,GOOGLE_API_KEY,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_linear_fill.py,131,env_var,LINEAR_API_KEY,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_linear_fill.py,132,env_var,LINEAR_TEAM_ID,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_linear_fill.py,133,env_var,LINEAR_TEAM_KEY,'OMN',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_llm_classify.py,73,env_var,LLM_CODER_FAST_URL,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_llm_dispatch.py,125,env_var,OMNI_HOME,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_llm_dispatch.py,158,env_var,KAFKA_BOOTSTRAP_SERVERS,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/adapter_llm_dispatch.py,347,env_var,KAFKA_BOOTSTRAP_SERVERS,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/assemble_live.py,182,env_var,BUILD_LOOP_OUTPUT_DIR,str(Path.home() / '.onex_state' / 'build-loop-results'),
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/model_policy_loader.py,62,env_var,env_var,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/model_policy_loader.py,87,env_var,api_key_env,'',
src/omnimarket/nodes/node_build_loop_orchestrator/handlers/model_policy_loader.py,99,env_var,model_id_env,'',
src/omnimarket/nodes/node_ci_fix_effect/handlers/handler_ci_fix.py,532,env_var,GH_PAT,,S1
src/omnimarket/nodes/node_code_embedding_effect/handlers/handler_code_embedding_effect.py,224,env_var,QDRANT_HOST,,S1
src/omnimarket/nodes/node_code_embedding_effect/handlers/handler_code_embedding_effect.py,229,env_var,QDRANT_PORT,'6333',
src/omnimarket/nodes/node_code_embedding_effect/handlers/handler_code_embedding_effect.py,70,env_var,EMBEDDING_MODEL_URL,'',
src/omnimarket/nodes/node_code_embedding_effect/handlers/handler_code_embedding_effect.py,79,env_var,QDRANT_CODE_COLLECTION,DEFAULT_QDRANT_COLLECTION,
src/omnimarket/nodes/node_code_embedding_effect/handlers/handler_code_embedding_effect.py,93,env_var,CODE_EMBEDDING_VECTOR_SIZE,str(DEFAULT_VECTOR_SIZE),
src/omnimarket/nodes/node_code_embedding_effect/handlers/handler_code_embedding_effect.py,84,env_var,CODE_EMBEDDING_BATCH_SIZE,str(DEFAULT_EMBEDDING_BATCH_SIZE),
src/omnimarket/nodes/node_code_embedding_effect/tests/test_handler_code_embedding_effect.py,262,env_var,EMBEDDING_MODEL_URL,,S1
src/omnimarket/nodes/node_code_embedding_effect/tests/test_handler_code_embedding_effect.py,266,env_var,QDRANT_HOST,,S1
src/omnimarket/nodes/node_code_embedding_effect/tests/test_handler_code_embedding_effect.py,210,env_var,EMBEDDING_MODEL_URL,,S1
src/omnimarket/nodes/node_code_embedding_effect/tests/test_handler_code_embedding_effect.py,229,env_var,QDRANT_HOST,,S1
src/omnimarket/nodes/node_code_enrichment_effect/handlers/handler_code_enrichment_effect.py,110,env_var,LLM_FALLBACK_URL,'',
src/omnimarket/nodes/node_code_enrichment_effect/handlers/handler_code_enrichment_effect.py,117,env_var,CODE_ENRICHMENT_VERSION,DEFAULT_ENRICHMENT_VERSION,
src/omnimarket/nodes/node_code_enrichment_effect/handlers/handler_code_enrichment_effect.py,103,env_var,LLM_CODER_URL,'',
src/omnimarket/nodes/node_code_enrichment_effect/handlers/handler_code_enrichment_effect.py,112,env_var,CODE_ENRICHMENT_CONFIDENCE_THRESHOLD,str(DEFAULT_CONFIDENCE_THRESHOLD),
src/omnimarket/nodes/node_code_enrichment_effect/handlers/handler_code_enrichment_effect.py,126,env_var,CODE_ENRICHMENT_BATCH_SIZE,str(DEFAULT_ENRICHMENT_BATCH_SIZE),
src/omnimarket/nodes/node_code_enrichment_effect/tests/test_handler_code_enrichment_effect.py,297,env_var,LLM_CODER_URL,,S1
src/omnimarket/nodes/node_code_enrichment_effect/tests/test_handler_code_enrichment_effect.py,234,env_var,LLM_CODER_URL,,S1
src/omnimarket/nodes/node_compliance_sweep/__main__.py,54,env_var,OMNI_HOME,'/Volumes/PRO-G40/Code/omni_home',S2
src/omnimarket/nodes/node_compliance_sweep/__main__.py,54,hardcoded_path,/Volumes/PRO-G40/Code/omni_home,,S1
src/omnimarket/nodes/node_conflict_hunk_effect/handlers/handler_conflict_hunk.py,51,env_var,ONEX_CONFLICT_SOURCE_CLONE_ROOT,,S1
src/omnimarket/nodes/node_conflict_hunk_effect/handlers/handler_conflict_hunk.py,53,env_var,OMNI_HOME,,S1
src/omnimarket/nodes/node_conflict_hunk_effect/handlers/handler_conflict_hunk.py,62,env_var,ONEX_CONFLICT_WORKTREE_ROOT,'/tmp/onex-conflict',
src/omnimarket/nodes/node_contract_sweep/handlers/handler_contract_sweep.py,100,env_var,OMNI_HOME,,S1
src/omnimarket/nodes/node_coverage_sweep/__main__.py,59,env_var,OMNI_HOME,,S1
src/omnimarket/nodes/node_coverage_sweep/__main__.py,60,env_var,OMNI_HOME,,S1
src/omnimarket/nodes/node_data_verification/handlers/datasource_postgres.py,40,env_var,DB_URL_ENV,'',
src/omnimarket/nodes/node_database_sweep/handlers/handler_database_sweep.py,384,env_var,OMNI_HOME,'/Users/jonah/Code/omni_home',S2
src/omnimarket/nodes/node_database_sweep/handlers/handler_database_sweep.py,385,hardcoded_path,/Users/jonah/Code/omni_home,,S1
src/omnimarket/nodes/node_dispatch_queue_drainer/handlers/handler_dispatch_queue_drainer.py,165,env_var,ONEX_STATE_DIR,,S1
src/omnimarket/nodes/node_dispatch_queue_drainer/handlers/handler_dispatch_queue_drainer.py,90,env_var,ONEX_STATE_DIR,,S1
src/omnimarket/nodes/node_dispatch_queue_drainer/handlers/handler_dispatch_queue_drainer.py,91,env_var,ONEX_STATE_DIR,,S1
src/omnimarket/nodes/node_dispatch_queue_drainer/handlers/handler_dispatch_queue_drainer.py,172,env_var,OMNI_HOME,'/Users/jonah/Code/omni_home',S2
src/omnimarket/nodes/node_dispatch_queue_drainer/handlers/handler_dispatch_queue_drainer.py,98,env_var,ONEX_STATE_DIR,,S1
src/omnimarket/nodes/node_dispatch_queue_drainer/handlers/handler_dispatch_queue_drainer.py,172,hardcoded_path,/Users/jonah/Code/omni_home,,S1
src/omnimarket/nodes/node_dispatch_worker/handlers/dispatch_record_writer.py,18,env_var,ONEX_STATE_DIR,,S1
src/omnimarket/nodes/node_dispatch_worker/handlers/handler_dispatch_worker.py,547,env_var,OMNI_HOME,os.path.expanduser('~/omni_home'),S2
src/omnimarket/nodes/node_dispatch_worker/handlers/handler_dispatch_worker.py,548,env_var,OMNI_WORKTREES,"os.path.join(os.path.dirname(omni_home), 'omni_worktrees')",S2
src/omnimarket/nodes/node_dispatch_worker/handlers/handler_dispatch_worker.py,60,env_var,ONEX_STATE_DIR,,S1
src/omnimarket/nodes/node_dispatch_worker/handlers/handler_dispatch_worker.py,59,env_var,ONEX_STATE_DIR,,S1
src/omnimarket/nodes/node_dispatch_worker/handlers/handler_dispatch_worker.py,79,env_var,ONEX_PARENT_SESSION_ID,'unknown',
src/omnimarket/nodes/node_dispatch_worker/handlers/handler_dispatch_worker.py,377,env_var,CLAUDE_TASKS_DIR,'~/.claude/tasks',
src/omnimarket/nodes/node_dispatch_worker/handlers/handler_dispatch_worker.py,603,env_var,CLAUDE_TASKS_DIR,'~/.claude/tasks',
src/omnimarket/nodes/node_doc_freshness_sweep/handlers/handler_doc_freshness_sweep.py,155,env_var,OMNI_HOME,'/Users/jonah/Code/omni_home',S2
src/omnimarket/nodes/node_doc_freshness_sweep/handlers/handler_doc_freshness_sweep.py,156,hardcoded_path,/Users/jonah/Code/omni_home,,S1
src/omnimarket/nodes/node_dod_sweep_orchestrator/handlers/handler_dod_sweep_orchestrator.py,85,env_var,ONEX_CC_REPO_PATH,,S1
src/omnimarket/nodes/node_dod_verify/__main__.py,218,env_var,ONEX_EVIDENCE_ROOT,,S1
src/omnimarket/nodes/node_dod_verify/services/evidence_collector.py,161,env_var,OMNI_HOME,str(Path.home() / 'Code' / 'omni_home'),S2
src/omnimarket/nodes/node_dod_verify/services/evidence_collector.py,313,env_var,OMNI_HOME,,S1
src/omnimarket/nodes/node_dod_verify/services/evidence_collector.py,462,env_var,OMNI_HOME,,S1
src/omnimarket/nodes/node_dod_verify/services/evidence_collector.py,576,env_var,OMNI_HOME,,S1
src/omnimarket/nodes/node_dod_verify/services/evidence_collector.py,293,env_var,OMNI_HOME,'',
src/omnimarket/nodes/node_dod_verify/services/evidence_collector.py,294,env_var,PR_NUMBER,'',
src/omnimarket/nodes/node_dod_verify/services/evidence_collector.py,295,env_var,REPO,'',
src/omnimarket/nodes/node_dod_verify/services/evidence_collector.py,336,env_var,PR_NUMBER,'',
src/omnimarket/nodes/node_dod_verify/services/evidence_collector.py,372,env_var,REPO,'',
src/omnimarket/nodes/node_duplication_sweep/handlers/handler_duplication_sweep.py,320,env_var,OMNI_HOME,'/Users/jonah/Code/omni_home',S2
src/omnimarket/nodes/node_duplication_sweep/handlers/handler_duplication_sweep.py,321,hardcoded_path,/Users/jonah/Code/omni_home,,S1
src/omnimarket/nodes/node_e2e_orchestrator/consumer.py,58,env_var,ONEX_STATE_DIR,'',
src/omnimarket/nodes/node_e2e_orchestrator/consumer.py,371,env_var,KAFKA_BOOTSTRAP_SERVERS,"os.environ.get('KAFKA_BROKER', 'localhost:9092')",
src/omnimarket/nodes/node_e2e_orchestrator/consumer.py,375,env_var,E2E_ORCH_GROUP,_DEFAULT_GROUP,
src/omnimarket/nodes/node_e2e_orchestrator/consumer.py,373,env_var,KAFKA_BROKER,'localhost:9092',
src/omnimarket/nodes/node_e2e_orchestrator/consumer.py,376,env_var,CI_POLL_TIMEOUT_SECONDS,_DEFAULT_CI_TIMEOUT,
src/omnimarket/nodes/node_e2e_orchestrator/consumer.py,377,env_var,CI_POLL_INTERVAL_SECONDS,_DEFAULT_CI_INTERVAL,
src/omnimarket/nodes/node_emit_daemon/__main__.py,115,env_var,ONEX_EMIT_SOCKET_PATH,,S1
src/omnimarket/nodes/node_emit_daemon/__main__.py,118,env_var,XDG_RUNTIME_DIR,,S1
src/omnimarket/nodes/node_emit_daemon/__main__.py,128,env_var,ONEX_EMIT_PID_PATH,,S1
src/omnimarket/nodes/node_emit_daemon/__main__.py,131,env_var,XDG_RUNTIME_DIR,,S1
src/omnimarket/nodes/node_emit_daemon/__main__.py,141,env_var,ONEX_EMIT_SPOOL_DIR,,S1
src/omnimarket/nodes/node_emit_daemon/__main__.py,144,env_var,XDG_RUNTIME_DIR,,S1
src/omnimarket/nodes/node_emit_daemon/client.py,40,env_var,ONEX_EMIT_SOCKET_PATH,,S1
src/omnimarket/nodes/node_emit_daemon/client.py,43,env_var,XDG_RUNTIME_DIR,,S1
src/omnimarket/nodes/node_emit_daemon/event_queue.py,71,env_var,XDG_RUNTIME_DIR,,S1
src/omnimarket/nodes/node_emit_daemon/models/model_emit_daemon_config.py,31,env_var,ONEX_EMIT_SOCKET_PATH,,S1
src/omnimarket/nodes/node_emit_daemon/models/model_emit_daemon_config.py,34,env_var,XDG_RUNTIME_DIR,,S1
src/omnimarket/nodes/node_emit_daemon/models/model_emit_daemon_config.py,44,env_var,ONEX_EMIT_SPOOL_DIR,,S1
src/omnimarket/nodes/node_emit_daemon/models/model_emit_daemon_config.py,47,env_var,XDG_RUNTIME_DIR,,S1
src/omnimarket/nodes/node_environment_health_scanner/__main__.py,56,env_var,ONEX_INFRA_SSH_TARGET,,S1
src/omnimarket/nodes/node_environment_health_scanner/__main__.py,61,env_var,OMNI_HOME,'',
src/omnimarket/nodes/node_environment_health_scanner/handlers/handler_environment_health_scanner.py,119,env_var,ONEX_STATE_DIR,str(Path.home() / '.onex_state'),
src/omnimarket/nodes/node_environment_health_scanner/handlers/handler_environment_health_scanner.py,117,env_var,OMNI_HOME,'',
src/omnimarket/nodes/node_environment_health_scanner/handlers/handler_environment_health_scanner.py,118,env_var,ONEX_INFRA_SSH_TARGET,,S1
src/omnimarket/nodes/node_environment_health_scanner/handlers/handler_environment_health_scanner.py,130,env_var,ONEX_EMIT_DAEMON_SOCKET,'/tmp/onex_emit.sock',
src/omnimarket/nodes/node_environment_health_scanner/handlers/prober_emit_daemon.py,25,env_var,ONEX_EMIT_DAEMON_SOCKET,'/tmp/onex_emit.sock',
src/omnimarket/nodes/node_handoff_effect/handlers/handler_handoff_effect.py,129,env_var,ONEX_INFRA_BLOCKER_TICKETS,'none',
src/omnimarket/nodes/node_handoff_effect/handlers/handler_handoff_effect.py,172,env_var,ONEX_STATE_DIR,Path.home() / '.onex_state',
src/omnimarket/nodes/node_hostile_reviewer/handlers/adapter_inference_bridge.py,84,env_var,base_url_env,'',
src/omnimarket/nodes/node_integration_sweep_orchestrator/handlers/handler_integration_sweep_orchestrator.py,64,env_var,ONEX_CC_REPO_PATH,,S1
src/omnimarket/nodes/node_integration_test_runner/di_profiles.py,29,env_var,KAFKA_BOOTSTRAP_SERVERS,'',
src/omnimarket/nodes/node_ledger_append_effect/handlers/handler_ledger_append.py,34,env_var,ONEX_STATE_ROOT,,S1
src/omnimarket/nodes/node_ledger_hash_compute/handlers/handler_ledger_hash.py,30,env_var,ONEX_STATE_ROOT,,S1
src/omnimarket/nodes/node_linear_triage/handlers/handler_linear_triage.py,277,env_var,GH_PAT,'',
src/omnimarket/nodes/node_linear_triage/handlers/handler_linear_triage.py,496,env_var,LINEAR_API_KEY,'',
src/omnimarket/nodes/node_memory_lifecycle_orchestrator/handlers/handler_memory_archive.py,636,env_var,OMNIMEMORY_ARCHIVE_COMPRESSION_LEVEL,,S1
src/omnimarket/nodes/node_memory_lifecycle_orchestrator/handlers/handler_memory_archive.py,681,env_var,OMNIMEMORY_ARCHIVE_PATH,,S1
src/omnimarket/nodes/node_merge_sweep_compute/__main__.py,161,env_var,ONEX_STATE_DIR,os.path.expanduser('~/.onex_state'),
src/omnimarket/nodes/node_merge_sweep_compute/adapter_github_http.py,103,env_var,GH_PAT,'',
src/omnimarket/nodes/node_merge_sweep_compute/consumer.py,277,env_var,KAFKA_BROKER,'localhost:9092',
src/omnimarket/nodes/node_merge_sweep_compute/consumer.py,278,env_var,MERGE_SWEEP_GROUP,'omnimarket.merge_sweep.consume.v1',
src/omnimarket/nodes/node_merge_sweep_compute/consumer.py,279,env_var,ONEX_STATE_DIR,os.path.expanduser('~/.onex_state'),
src/omnimarket/nodes/node_model_router/handlers/handler_model_router.py,161,env_var,ONEX_CI_MODE,'',
src/omnimarket/nodes/node_navigation_history_reducer/handlers/handler_navigation_history_reducer.py,63,env_var,OMNIMEMORY_PG_DSN,'',
src/omnimarket/nodes/node_navigation_history_reducer/handlers/handler_navigation_history_reducer.py,64,env_var,QDRANT_HOST,'',
src/omnimarket/nodes/node_navigation_history_reducer/handlers/handler_navigation_history_reducer.py,66,env_var,LLM_EMBEDDING_URL,'',
src/omnimarket/nodes/node_navigation_history_reducer/handlers/handler_navigation_history_reducer.py,65,env_var,QDRANT_PORT,'6333',
src/omnimarket/nodes/node_navigation_history_reducer/handlers/handler_navigation_history_reducer.py,67,model_id,Qwen3-Embedding-8B,,S1
src/omnimarket/nodes/node_nightly_loop_controller/models/model_nightly_loop.py,201,env_var,GEMINI_CLI_ENDPOINT,'cli://gemini',
src/omnimarket/nodes/node_nightly_loop_controller/models/model_nightly_loop.py,202,env_var,LLM_CODER_URL,'http://192.168.86.201:8000',S2
src/omnimarket/nodes/node_nightly_loop_controller/models/model_nightly_loop.py,203,env_var,LLM_CODER_FAST_URL,'http://192.168.86.201:8001',S2
src/omnimarket/nodes/node_overnight/__main__.py,76,env_var,KAFKA_BOOTSTRAP_SERVERS,'',
